fips,tract_name,Geo_LOGRECNO,geo_tract,Geo_AREALAND,Geo_AREAWATR,Geo_GCUNI,total_hu,Geo_INTPTLAT,Geo_INTPTLON,total_pop,nhw,nhb,nhamin,nha,latino,pct_nhw,pct_nhb,pct_nhamin,pct_nha,pct_latino,ohu,ohu_oo,ohu_ro,pct_oo,pct_ro
6037113211,Census Tract 1132.11,317267,113211,7279575,3053,N,1613,+34.2674995,-118.6227865,3787,2628,103,6,458,466,69.4,2.72,0.16,12.09,12.31,1548,1348,200,87.08,12.92
6037113212,Census Tract 1132.12,317270,113212,999825,0,N,1082,+34.2606869,-118.6024313,3069,1569,151,7,528,712,51.12,4.92,0.23,17.2,23.2,1045,688,357,65.84,34.16
6037113213,Census Tract 1132.13,317273,113213,1300835,24,N,1660,+34.2519958,-118.6071365,4316,2040,187,13,881,1035,47.27,4.33,0.3,20.41,23.98,1594,1080,514,67.75,32.25
6037113231,Census Tract 1132.31,317276,113231,4123406,18102,N,810,+34.2266028,-118.6502378,2125,1496,79,2,223,239,70.4,3.72,0.09,10.49,11.25,789,647,142,82,18
6037113232,Census Tract 1132.32,317279,113232,2065816,0,N,1388,+34.2258260,-118.6125452,3894,2380,155,9,522,692,61.12,3.98,0.23,13.41,17.77,1342,1171,171,87.26,12.74
6037113233,Census Tract 1132.33,317282,113233,1143935,0,N,2448,+34.2269621,-118.6012203,6655,1608,459,11,791,3622,24.16,6.9,0.17,11.89,54.43,2283,658,1625,28.82,71.18
6037113234,Census Tract 1132.34,317286,113234,1013007,9924,N,1585,+34.2257746,-118.5939793,4667,1113,160,9,724,2565,23.85,3.43,0.19,15.51,54.96,1494,711,783,47.59,52.41
6037113235,Census Tract 1132.35,317289,113235,1433956,0,Y,766,+34.2382513,-118.651677,1602,1199,48,9,60,213,74.84,3,0.56,3.75,13.3,663,527,136,79.49,20.51
6037113237,Census Tract 1132.37,317291,113237,4736211,11048,Y,1496,+34.2445440,-118.6117577,3661,2081,191,7,653,588,56.84,5.22,0.19,17.84,16.06,1432,922,510,64.39,35.61
6037113301,Census Tract 1133.01,317294,113301,2269615,0,N,982,+34.2440427,-118.5583429,2201,1263,88,2,346,431,57.38,4,0.09,15.72,19.58,717,596,121,83.12,16.88
6037113303,Census Tract 1133.03,317297,113303,4073594,7268,N,1398,+34.2440789,-118.5790731,4006,2019,132,16,574,1167,50.4,3.3,0.4,14.33,29.13,1362,1202,160,88.25,11.75
6037113321,Census Tract 1133.21,317300,113321,1048340,17,N,2406,+34.2533539,-118.5918392,5473,2091,299,16,1092,1804,38.21,5.46,0.29,19.95,32.96,2252,676,1576,30.02,69.98
6037113322,Census Tract 1133.22,317303,113322,1786509,0,N,1370,+34.2536788,-118.5721382,3947,2164,146,4,741,760,54.83,3.7,0.1,18.77,19.26,1323,1154,169,87.23,12.77
6037113401,Census Tract 1134.01,317306,113401,2451813,0,N,1777,+34.2272273,-118.5626938,5543,2002,200,7,949,2232,36.12,3.61,0.13,17.12,40.27,1716,1228,488,71.56,28.44
6037113421,Census Tract 1134.21,317310,113421,2196805,8498,N,2064,+34.2335792,-118.5830621,6109,1414,533,11,796,3176,23.15,8.72,0.18,13.03,51.99,1952,450,1502,23.05,76.95
6037113422,Census Tract 1134.22,317314,113422,1522528,7192,N,2158,+34.2242131,-118.5809624,6057,1912,339,8,1061,2556,31.57,5.6,0.13,17.52,42.2,2043,1120,923,54.82,45.18
6037115101,Census Tract 1151.01,317319,115101,3882388,0,N,1724,+34.2394391,-118.5112305,5046,3272,195,9,531,899,64.84,3.86,0.18,10.52,17.82,1688,1554,134,92.06,7.94
6037115103,Census Tract 1151.03,317323,115103,1521673,0,Y,31,+34.2438266,-118.5274632,2776,744,672,10,341,879,26.8,24.21,0.36,12.28,31.66,30,1,29,3.33,96.67
6037115104,Census Tract 1151.04,317325,115104,1020184,0,Y,2117,+34.2374909,-118.5226461,4444,1916,360,7,964,1003,43.11,8.1,0.16,21.69,22.57,1979,520,1459,26.28,73.72
6037115201,Census Tract 1152.01,317328,115201,1363739,8773,N,2911,+34.2441108,-118.5382749,6437,2584,405,24,1559,1590,40.14,6.29,0.37,24.22,24.7,2736,709,2027,25.91,74.09
6037115202,Census Tract 1152.02,317332,115202,1737513,3837,N,1951,+34.2332349,-118.5376549,4828,1767,305,13,951,1602,36.6,6.32,0.27,19.7,33.18,1832,778,1054,42.47,57.53
6037115301,Census Tract 1153.01,317336,115301,1621778,19452,N,1766,+34.2422846,-118.548089,4156,2312,184,7,777,729,55.63,4.43,0.17,18.7,17.54,1669,1038,631,62.19,37.81
6037115302,Census Tract 1153.02,317339,115302,832984,4830,N,1025,+34.2259651,-118.5503049,4351,470,69,5,301,3455,10.8,1.59,0.11,6.92,79.41,960,310,650,32.29,67.71
6037115401,Census Tract 1154.01,317341,115401,1905154,0,N,2055,+34.2248079,-118.515127,5776,1928,303,6,700,2667,33.38,5.25,0.1,12.12,46.17,1959,739,1220,37.72,62.28
6037115403,Census Tract 1154.03,317344,115403,703744,0,Y,1045,+34.2247342,-118.5317299,3188,688,127,3,458,1829,21.58,3.98,0.09,14.37,57.37,978,250,728,25.56,74.44
6037115404,Census Tract 1154.04,317346,115404,946597,6707,Y,867,+34.2255624,-118.5416703,2913,708,208,3,410,1496,24.3,7.14,0.1,14.07,51.36,824,410,414,49.76,50.24
6037117101,Census Tract 1171.01,317349,117101,771815,7676,Y,1376,+34.2391374,-118.4621302,4796,494,251,5,1769,2186,10.3,5.23,0.1,36.88,45.58,1321,876,445,66.31,33.69
6037117102,Census Tract 1171.02,317352,117102,1032683,6068,Y,828,+34.2481946,-118.4598237,2631,571,111,3,351,1544,21.7,4.22,0.11,13.34,58.68,779,603,176,77.41,22.59
6037117201,Census Tract 1172.01,317355,117201,789751,0,Y,1233,+34.2426724,-118.4700895,4352,580,223,4,543,2875,13.33,5.12,0.09,12.48,66.06,1170,392,778,33.5,66.5
6037117202,Census Tract 1172.02,317358,117202,1815771,0,Y,740,+34.2429124,-118.4788675,2471,766,110,3,621,911,31,4.45,0.12,25.13,36.87,714,633,81,88.66,11.34
6037117301,Census Tract 1173.01,317361,117301,1331907,0,N,1236,+34.2421587,-118.4896512,3851,1741,194,7,549,1252,45.21,5.04,0.18,14.26,32.51,1207,1073,134,88.9,11.1
6037117302,Census Tract 1173.02,317365,117302,2051827,0,N,1744,+34.2381430,-118.4987424,4914,2458,219,6,746,1335,50.02,4.46,0.12,15.18,27.17,1679,1243,436,74.03,25.97
6037117303,Census Tract 1173.03,317370,117303,1800573,0,N,1038,+34.2281097,-118.4912814,3512,1399,106,5,553,1376,39.83,3.02,0.14,15.75,39.18,1019,877,142,86.06,13.94
6037117404,Census Tract 1174.04,317373,117404,1765660,0,N,1335,+34.2284788,-118.479077,4279,1561,209,5,704,1670,36.48,4.88,0.12,16.45,39.03,1288,958,330,74.38,25.62
6037117405,Census Tract 1174.05,317377,117405,201835,0,N,854,+34.2337312,-118.4702311,3442,115,123,3,54,3119,3.34,3.57,0.09,1.57,90.62,781,61,720,7.81,92.19
6037117407,Census Tract 1174.07,317379,117407,198334,0,Y,896,+34.2301059,-118.4703117,3636,60,85,0,85,3377,1.65,2.34,0,2.34,92.88,841,22,819,2.62,97.38
6037117408,Census Tract 1174.08,317381,117408,376508,0,Y,868,+34.2248464,-118.4703709,2830,200,131,0,120,2335,7.07,4.63,0,4.24,82.51,813,132,681,16.24,83.76
6037117510,Census Tract 1175.10,317383,117510,330594,4519,N,1013,+34.2336780,-118.4621485,4028,178,139,0,311,3359,4.42,3.45,0,7.72,83.39,972,173,799,17.8,82.2
6037117520,Census Tract 1175.20,317385,117520,321695,4030,N,999,+34.2300853,-118.4621861,4052,154,166,5,197,3484,3.8,4.1,0.12,4.86,85.98,910,178,732,19.56,80.44
6037117530,Census Tract 1175.30,317387,117530,544539,12335,N,1565,+34.2264373,-118.4643776,5641,288,173,5,870,4232,5.11,3.07,0.09,15.42,75.02,1478,399,1079,27,73
6037119001,Census Tract 1190.01,317390,119001,1010094,56537,Y,997,+34.2351095,-118.4203143,4038,392,31,7,680,2846,9.71,0.77,0.17,16.84,70.48,947,783,164,82.68,17.32
6037119002,Census Tract 1190.02,317394,119002,1677455,16415,Y,1679,+34.2469249,-118.4275349,7210,383,35,9,482,6234,5.31,0.49,0.12,6.69,86.46,1580,1108,472,70.13,29.87
6037119201,Census Tract 1192.01,317400,119201,947372,4796,Y,915,+34.2462338,-118.440639,4137,266,47,7,216,3574,6.43,1.14,0.17,5.22,86.39,882,674,208,76.42,23.58
6037119202,Census Tract 1192.02,317404,119202,958405,10578,Y,1086,+34.2547197,-118.4424803,4707,237,69,3,177,4189,5.04,1.47,0.06,3.76,89,1040,706,334,67.88,32.12
6037119310,Census Tract 1193.10,317409,119310,425185,3695,N,1150,+34.2450202,-118.4516702,3871,425,163,2,559,2668,10.98,4.21,0.05,14.44,68.92,1090,578,512,53.03,46.97
6037119320,Census Tract 1193.20,317412,119320,486436,10184,N,1183,+34.2369427,-118.4547256,4694,317,204,3,830,3268,6.75,4.35,0.06,17.68,69.62,1119,333,786,29.76,70.24
